date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:03	6717/6717	---M--	200	added ('OK')	application/x-javascript	etag:%221a3d-4b1209abd2700%22	http://www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.easing-1.3.pack.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.easing-1.3.pack.js	(from http://www.julius-berger.com/)
07:45:04	12355/12355	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:35%20GMT	http://www.julius-berger.com/inside-jb/view/article/nigerian-society-of-engineers-awards-julius-berger/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/view/article/nigerian-society-of-engineers-awards-julius-berger/index.html	(from http://www.julius-berger.com/)
07:45:05	3783/3783	---M--	200	added ('OK')	application/x-javascript	etag:%22ec7-4ba176f781f00%22	http://www.julius-berger.com/fileadmin/templates/js/superfish.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/superfish.js	(from http://www.julius-berger.com/)
07:45:05	29605/29605	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:36%20GMT	http://www.julius-berger.com/on-site/	C:/My%20Web%20Sites/JB/www.julius-berger.com/on-site/index.html	(from http://www.julius-berger.com/)
07:45:06	11941/11941	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:38%20GMT	http://www.julius-berger.com/service/imprint/	C:/My%20Web%20Sites/JB/www.julius-berger.com/service/imprint/index.html	(from http://www.julius-berger.com/)
07:45:07	17840/17840	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:38%20GMT	http://www.julius-berger.com/service/terms-of-use/	C:/My%20Web%20Sites/JB/www.julius-berger.com/service/terms-of-use/index.html	(from http://www.julius-berger.com/)
07:45:07	3296/3296	---M--	200	added ('OK')	application/x-javascript	etag:%22ce0-4b12098e42140%22	http://www.julius-berger.com/fileadmin/templates/js/supersubs.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/supersubs.js	(from http://www.julius-berger.com/)
07:45:08	12538/12538	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:39%20GMT	http://www.julius-berger.com/service/privacy-policy/	C:/My%20Web%20Sites/JB/www.julius-berger.com/service/privacy-policy/index.html	(from http://www.julius-berger.com/)
07:45:09	14355/14355	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:40%20GMT	http://www.julius-berger.com/service/sitemap/	C:/My%20Web%20Sites/JB/www.julius-berger.com/service/sitemap/index.html	(from http://www.julius-berger.com/)
07:45:09	1700/1700	---M--	200	added ('OK')	application/x-javascript	etag:%226a4-4d7abbec7fec0%22	http://www.julius-berger.com/fileadmin/templates/js/jbn.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/jbn.js	(from http://www.julius-berger.com/)
07:45:09	2893/2893	---M--	200	added ('OK')	application/x-javascript	etag:%22b4d-4ba176f781f00%22	http://www.julius-berger.com/fileadmin/templates/js/slider.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/slider.js	(from http://www.julius-berger.com/)
07:45:10	7082/7082	---M--	200	added ('OK')	application/x-javascript	etag:%221baa-4b12098e42140%22	http://www.julius-berger.com/fileadmin/templates/js/dropdown.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/dropdown.js	(from http://www.julius-berger.com/)
07:45:10	951/951	---M--	200	added ('OK')	application/x-javascript	etag:%223b7-4ba176f781f00%22	http://www.julius-berger.com/fileadmin/templates/js/default.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/default.js	(from http://www.julius-berger.com/)
07:45:17	38956/38956	---M--	200	added ('OK')	text/plain	etag:%2281e0b8-982c-4af0873307f80%22	http://www.julius-berger.com/fileadmin/templates/fonts/MetaSerifWeb-Book.woff	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/fonts/MetaSerifWeb-Book.woff	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:18	1858/1858	---M--	200	added ('OK')	image/png	etag:%228247fb-742-4ba176bb6d140%22	http://www.julius-berger.com/fileadmin/templates/images/body-background.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/body-background.png	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:19	139130/139130	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202014%2006:44:30%20GMT	http://www.julius-berger.com/uploads/pics/project-gallery-image.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/project-gallery-image.png	(from http://www.julius-berger.com/)
07:45:20	91556/91556	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js	C:/My%20Web%20Sites/JB/ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js	(from http://www.julius-berger.com/)
07:45:20	10021/10021	---M--	200	added ('OK')	image/jpeg	etag:%228247fc-2725-4b3678698b200%22	http://www.julius-berger.com/fileadmin/templates/images/header/header-main.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/header/header-main.jpg	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:20	2811/2811	---M--	200	added ('OK')	image/png	etag:%2282423e-afb-4dceb7e2ac4c0%22	http://www.julius-berger.com/fileadmin/templates/images/header/annual-general-meeting-2013-banner.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/header/annual-general-meeting-2013-banner.png	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:20	71200/71200	---M--	200	added ('OK')	text/plain	etag:%2281e0b9-11620-4af08533dc980%22	http://www.julius-berger.com/fileadmin/templates/fonts/MetaSerifWeb-Book.eot	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/fonts/MetaSerifWeb-Book.eot	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:21	165/165	---M--	200	added ('OK')	image/png	etag:%2282601a-a5-4b36788be0300%22	http://www.julius-berger.com/fileadmin/templates/images/slider/slider-box-hover-bg.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/slider/slider-box-hover-bg.png	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:21	111/111	---M--	200	added ('OK')	image/png	etag:%228247fa-6f-4ba176bb6d140%22	http://www.julius-berger.com/fileadmin/templates/images/blue-link-icon.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/blue-link-icon.png	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
07:45:23	6247/6247	---M--	200	added ('OK')	image/png	etag:%22826022-1867-4b36788dc8780%22	http://www.julius-berger.com/fileadmin/templates/images/slider/wmun.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/slider/wmun.png	(from http://www.julius-berger.com/fileadmin/templates/css/style.css)
