date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:01	11184/11184	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:07:31%20GMT	http://www.julius-berger.com/about-us/our-profile/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/our-profile/index7b0e.html	(from http://www.julius-berger.com/about-us/our-profile/)
09:08:01	299098/299098	U-----	200	untouched ('')	image/jpeg	etag:%2282e831-4905a-4ba179387b040%22	http://www.julius-berger.com/uploads/tx_templavoila/1-2_ourvalues_landscape.JPG	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-2_ourvalues_landscape.jpg	(from http://www.julius-berger.com/about-us/our-values/)
09:08:03	10784/10784	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:07:34%20GMT	http://www.julius-berger.com/about-us/our-values/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/our-values/index7b0e.html	(from http://www.julius-berger.com/about-us/our-values/)
09:08:03	21206/21206	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:15%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/1-2_our-history_landscape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-2_our-history_landscape.jpg	(from http://www.julius-berger.com/about-us/our-history/)
09:08:04	35542/35542	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:16%20GMT	http://www.julius-berger.com/uploads/pics/1-2_our-history-text_lightbox.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/1-2_our-history-text_lightbox.jpg	(from http://www.julius-berger.com/about-us/our-history/)
09:08:08	23551/23551	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:07:37%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/3-1_Press-Room__Landacape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/3-1_Press-Room__Landacape.jpg	(from http://www.julius-berger.com/on-site/)
09:08:09	10969/10969	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:07:41%20GMT	http://www.julius-berger.com/about-us/our-history/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/our-history/index7b0e.html	(from http://www.julius-berger.com/about-us/our-history/)
09:08:18	48317/48317	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:07:42%20GMT	http://www.julius-berger.com/uploads/pics/_0000_AEW1.jpg.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0000_AEW1.jpg.jpg	(from http://www.julius-berger.com/on-site/)
09:08:18	14642/14642	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:25%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/1-2_our-group_landscape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-2_our-group_landscape.jpg	(from http://www.julius-berger.com/about-us/our-group/)
09:08:27	3355048/3355048	---M--	200	added ('OK')	application/pdf	etag:%22822029-3331a8-4ba7f8ffa4880%22	http://www.julius-berger.com/fileadmin/media/Docs/Investor_Relations/JBN_AR_2010_web.pdf	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/media/Docs/Investor_Relations/JBN_AR_2010_web.pdf	(from http://www.julius-berger.com/investor-relations/financial-reporting/)
